"Church Farm School Weather Station"
"9/1/22 12:00 AM : 1 Year"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date & Time","Barometer - in Hg","Inside Temp - °F","Inside Hum - %","Inside Dew Point - °F","Inside Heat Index - °F","Inside EMC","Temp - °F","High Temp - °F","Low Temp - °F","Hum - %","Dew Point - °F","Wet Bulb - °F","Wind Speed - mph","Wind Direction","Wind Run - mi","High Wind Speed - mph","High Wind Direction","Wind Chill - °F","Heat Index - °F","THW Index - °F","Rain - in","Rain Rate - in/h","ET - in","Heating Degree Days","Cooling Degree Days"
"9/1/22 12:00 AM","29.89","69","40","44","67","7.8","50","50","50","80","44","47","3","E","1.5","7","E","50","50","50","0.00","0.00","0.00","0.312","0.000"
"9/1/22 12:30 AM","29.89","69","40","44","66","7.8","50","50","50","81","44","46","3","E","1.5","7","E","49","49","49","0.00","0.00","0.00","0.323","0.000"
"9/1/22 1:00 AM","29.90","69","40","43","66","7.8","50","50","50","80","44","46","3","E","1.5","7","E","49","49","49","0.00","0.00","0.00","0.323","0.000"
"9/1/22 1:30 AM","29.90","69","40","43","66","7.8","49","50","49","80","43","46","4","E","2.0","8","ENE","48","49","48","0.00","0.00","0.00","0.327","0.000"
"9/1/22 2:00 AM","29.90","68","40","43","66","7.8","49","50","49","80","43","46","4","E","2.0","9","E","48","49","48","0.00","0.00","0.00","0.327","0.000"
"9/1/22 2:30 AM","29.90","68","40","43","66","7.8","49","49","49","79","43","46","5","E","2.5","10","E","47","49","47","0.00","0.00","0.00","0.329","0.000"
"9/1/22 3:00 AM","29.89","68","40","43","66","7.8","49","49","49","80","43","46","5","E","2.5","10","E","47","49","47","0.00","0.00","0.00","0.329","0.000"
"9/1/22 3:30 AM","29.90","68","40","43","66","7.8","50","50","49","78","43","46","6","ENE","3.0","13","E","48","50","47","0.00","0.00","0.00","0.315","0.000"
"9/1/22 4:00 AM","29.90","69","39","43","66","7.7","50","50","50","78","44","47","7","ENE","3.5","15","ENE","48","50","47","0.00","0.00","0.00","0.306","0.000"
"9/1/22 4:30 AM","29.90","69","39","43","67","7.7","51","51","50","78","44","47","7","ENE","3.5","14","E","48","50","48","0.00","0.00","0.00","0.298","0.000"
"9/1/22 5:00 AM","29.90","69","39","43","67","7.7","52","52","51","77","45","48","6","ENE","3.0","13","ESE","50","52","50","0.00","0.00","0.00","0.273","0.000"
"9/1/22 5:30 AM","29.90","70","40","44","67","7.8","53","53","52","75","46","49","6","ENE","3.0","14","E","52","53","51","0.00","0.00","0.00","0.244","0.000"
"9/1/22 6:00 AM","29.88","70","39","44","67","7.7","55","55","53","73","46","50","6","ENE","3.0","14","E","53","54","53","0.00","0.00","0.00","0.213","0.000"
"9/1/22 6:30 AM","29.87","70","40","44","67","7.8","56","56","55","72","47","50","8","ENE","4.0","15","ENE","53","55","53","0.00","0.00","0.00","0.194","0.000"
"9/1/22 7:00 AM","29.86","70","40","45","68","7.7","57","57","56","69","47","51","8","ENE","4.0","16","E","55","56","54","0.00","0.00","0.00","0.171","0.000"
"9/1/22 7:30 AM","29.85","70","40","45","68","7.7","58","58","57","68","48","52","8","E","4.0","17","NNE","57","58","56","0.00","0.00","0.00","0.135","0.000"
"9/1/22 8:00 AM","29.84","70","40","45","68","7.7","59","59","59","67","48","52","8","E","4.0","14","NE","58","58","57","0.00","0.00","0.00","0.119","0.000"
"9/1/22 8:30 AM","29.83","70","41","45","68","7.9","60","60","59","67","49","53","7","E","3.5","13","E","59","59","58","0.00","0.00","0.00","0.108","0.000"
"9/1/22 9:00 AM","29.82","71","42","46","68","8.0","60","61","60","66","49","53","7","E","3.5","17","E","60","60","59","0.00","0.00","0.00","0.094","0.000"
"9/1/22 9:30 AM","29.82","71","42","46","69","8.0","60","61","60","66","49","53","7","E","3.5","16","E","60","59","59","0.00","0.00","0.00","0.096","0.000"
"9/1/22 10:00 AM","29.81","71","42","46","68","8.0","61","61","60","67","50","54","7","E","3.5","15","ESE","60","60","59","0.00","0.00","0.00","0.090","0.000"
"9/1/22 10:30 AM","29.79","70","43","47","68","8.2","60","61","60","67","49","53","7","ENE","3.5","15","ENE","60","59","59","0.00","0.00","0.00","0.098","0.000"
"9/1/22 11:00 AM","29.78","70","43","47","68","8.2","60","60","60","68","49","53","5","ENE","2.5","12","E","60","59","59","0.00","0.00","0.00","0.104","0.000"
"9/1/22 11:30 AM","29.78","71","43","47","69","8.2","60","60","60","69","50","53","6","E","3.0","12","E","59","59","58","0.00","0.00","0.00","0.108","0.000"
"9/1/22 12:00 PM","29.77","71","43","47","69","8.2","59","60","59","69","49","53","8","E","4.0","17","E","58","58","57","0.00","0.00","0.00","0.117","0.000"
"9/1/22 12:30 PM","29.77","71","43","47","69","8.2","59","59","59","69","49","52","7","E","3.5","16","ESE","58","58","57","0.00","0.00","0.00","0.127","0.000"
"9/1/22 1:00 PM","29.76","71","43","47","69","8.2","59","59","59","70","49","52","7","E","3.5","14","E","58","58","57","0.00","0.00","0.00","0.133","0.000"
"9/1/22 1:30 PM","29.76","71","42","47","69","8.0","58","59","58","70","49","52","6","E","3.0","13","E","58","58","57","0.00","0.00","0.00","0.137","0.000"
"9/1/22 2:00 PM","29.75","71","42","47","69","8.0","58","58","58","69","48","52","6","E","3.0","11","E","57","57","56","0.00","0.00","0.00","0.148","0.000"
"9/1/22 2:30 PM","29.75","71","41","46","69","7.9","58","58","58","67","47","51","7","ENE","3.5","15","E","56","57","55","0.00","0.00","0.00","0.152","0.000"
"9/1/22 3:00 PM","29.73","72","41","47","70","7.9","57","58","57","68","47","51","7","E","3.5","15","E","56","56","55","0.00","0.00","0.00","0.160","0.000"
"9/1/22 3:30 PM","29.73","72","41","47","70","7.9","57","57","57","69","47","51","7","E","3.5","17","E","56","56","55","0.00","0.00","0.00","0.165","0.000"
"9/1/22 4:00 PM","29.70","72","40","46","70","7.7","57","57","57","70","47","51","9","E","4.5","21","ESE","54","56","53","0.00","0.00","0.00","0.165","0.000"
"9/1/22 4:30 PM","29.70","72","40","46","70","7.7","56","57","56","75","48","51","8","E","4.0","18","E","54","56","53","0.00","0.00","0.00","0.185","0.000"
"9/1/22 5:00 PM","29.68","72","40","46","70","7.7","55","56","55","78","48","51","6","E","3.0","13","E","54","55","53","0.00","0.00","0.00","0.204","0.000"
"9/1/22 5:30 PM","29.68","72","40","46","70","7.7","56","56","55","77","48","51","7","E","3.5","15","ESE","54","55","53","0.00","0.00","0.00","0.198","0.000"
"9/1/22 6:00 PM","29.69","72","40","46","70","7.7","56","56","56","78","49","52","7","E","3.5","14","ENE","54","55","54","0.00","0.00","0.00","0.192","0.000"
"9/1/22 6:30 PM","29.68","72","40","46","70","7.7","56","56","56","79","49","52","5","ENE","2.5","14","ENE","55","55","55","0.00","0.00","0.00","0.192","0.000"
"9/1/22 7:00 PM","29.67","72","40","47","70","7.7","56","56","56","80","50","52","5","ENE","2.5","14","E","55","55","54","0.00","0.00","0.00","0.196","0.000"
"9/1/22 7:30 PM","29.68","72","40","47","70","7.7","56","56","55","81","50","52","5","E","2.5","12","E","55","55","55","0.00","0.00","0.00","0.194","0.000"
"9/1/22 8:00 PM","29.63","72","40","47","70","7.7","54","56","54","85","50","51","6","ENE","3.0","13","ENE","53","54","52","0.01","0.00","0.00","0.227","0.000"
"9/1/22 8:30 PM","29.62","72","41","47","71","7.9","54","54","54","86","50","51","6","E","3.0","13","ENE","52","54","52","0.00","0.00","0.00","0.231","0.000"
"9/1/22 9:00 PM","29.65","72","41","47","71","7.9","54","54","54","86","50","52","5","ENE","2.5","15","E","53","54","53","0.00","0.00","0.00","0.223","0.000"
"9/1/22 9:30 PM","29.61","72","41","47","71","7.9","53","54","53","89","50","52","7","ENE","3.5","18","ENE","51","53","51","0.01","0.00","0.00","0.242","0.000"
"9/1/22 10:00 PM","29.63","72","41","47","71","7.9","53","53","53","90","50","52","7","E","3.5","18","E","51","53","51","0.00","0.00","0.00","0.244","0.000"
"9/1/22 10:30 PM","29.59","72","41","47","71","7.9","53","53","53","91","51","52","10","ENE","5.0","23","E","49","53","49","0.01","0.00","0.00","0.244","0.000"
"9/1/22 11:00 PM","29.59","72","42","48","71","8.0","53","53","53","92","51","52","10","ENE","5.0","23","E","49","53","49","0.00","0.00","0.00","0.244","0.000"
"9/1/22 11:30 PM","29.61","72","42","48","71","8.0","53","54","53","91","51","52","10","NE","5.0","21","E","49","54","49","0.01","0.00","0.00","0.242","0.000"
"9/2/22 12:00 AM","29.58","72","42","48","71","8.0","53","54","53","91","51","52","11","ENE","5.5","26","E","48","53","48","0.00","0.00","0.00","0.248","0.000"
"9/2/22 12:30 AM","29.56","72","43","49","71","8.1","53","53","53","91","51","52","13","E","6.5","26","ENE","48","53","48","0.01","0.00","0.00","0.246","0.000"
"9/2/22 1:00 AM","29.57","72","43","49","71","8.1","53","54","53","91","51","52","12","E","6.0","25","ESE","48","53","48","0.00","0.00","0.00","0.246","0.000"
"9/2/22 1:30 AM","29.56","72","43","49","71","8.1","52","53","52","92","50","51","13","E","6.5","36","E","46","52","47","0.01","0.00","0.00","0.269","0.000"
"9/2/22 2:00 AM","29.56","72","43","49","71","8.2","51","52","51","92","49","50","11","ENE","5.5","25","E","46","52","47","0.00","0.00","0.00","0.283","0.000"
"9/2/22 2:30 AM","29.57","72","43","49","71","8.1","51","51","51","92","49","50","9","ENE","4.5","22","E","47","52","48","0.01","0.00","0.00","0.285","0.000"
"9/2/22 3:00 AM","29.57","72","43","49","71","8.2","51","52","51","92","49","50","10","ENE","5.0","24","ENE","47","52","47","0.00","0.00","0.00","0.283","0.000"
"9/2/22 3:30 AM","29.57","72","42","48","71","8.0","52","52","51","92","49","50","12","ENE","6.0","25","E","46","52","46","0.00","0.00","0.00","0.281","0.000"
"9/2/22 4:00 AM","29.57","72","43","49","71","8.1","52","52","52","91","49","50","11","ENE","5.5","25","E","47","52","47","0.00","0.00","0.00","0.275","0.000"
"9/2/22 4:30 AM","29.57","72","43","49","71","8.1","52","52","52","90","49","51","10","E","5.0","19","E","48","52","48","0.01","0.00","0.00","0.265","0.000"
"9/2/22 5:00 AM","29.56","72","43","49","71","8.1","52","52","52","91","50","51","10","ENE","5.0","24","E","48","53","48","0.00","0.00","0.00","0.265","0.000"
"9/2/22 5:30 AM","29.55","73","43","49","71","8.1","53","53","52","92","51","52","10","E","5.0","22","ENE","49","53","49","0.00","0.00","0.00","0.252","0.000"
"9/2/22 6:00 AM","29.55","73","43","49","71","8.1","53","53","53","92","51","52","11","ENE","5.5","23","E","49","54","49","0.01","0.00","0.00","0.242","0.000"
"9/2/22 6:30 AM","29.55","73","43","49","71","8.1","54","54","53","92","52","53","10","E","5.0","19","E","51","55","51","0.00","0.00","0.00","0.219","0.000"
"9/2/22 7:00 AM","29.54","73","44","49","71","8.3","55","55","54","91","53","54","10","E","5.0","22","NE","51","55","52","0.00","0.00","0.00","0.202","0.000"
"9/2/22 7:30 AM","29.54","73","44","50","72","8.3","56","56","55","91","53","54","10","E","5.0","20","E","52","56","52","0.00","0.00","0.00","0.192","0.000"
"9/2/22 8:00 AM","29.54","73","44","50","72","8.3","56","56","56","92","54","55","9","E","4.5","18","E","53","56","53","0.01","0.00","0.00","0.188","0.000"
"9/2/22 8:30 AM","29.53","73","45","50","72","8.4","56","56","56","92","54","55","9","E","4.5","16","E","53","56","53","0.00","0.00","0.00","0.183","0.000"
"9/2/22 9:00 AM","29.52","73","45","50","72","8.4","56","56","56","92","54","55","10","E","5.0","20","SE","53","56","53","0.00","0.00","0.00","0.183","0.000"
"9/2/22 9:30 AM","29.52","73","45","50","72","8.4","56","56","56","92","54","55","12","E","6.0","24","ESE","52","57","52","0.01","0.00","0.00","0.177","0.000"
"9/2/22 10:00 AM","29.51","73","46","51","72","8.6","57","57","56","92","54","55","9","E","4.5","19","E","54","57","54","0.00","0.00","0.00","0.175","0.000"
"9/2/22 10:30 AM","29.51","73","46","51","72","8.6","57","57","57","92","55","55","11","E","5.5","21","E","53","57","53","0.00","0.00","0.00","0.169","0.000"
"9/2/22 11:00 AM","29.51","73","46","51","72","8.6","57","57","57","93","55","56","10","E","5.0","21","E","54","57","54","0.00","0.00","0.00","0.165","0.000"
