"Church Farm School Weather Station"
"9/1/21 12:00 AM : 1 Year"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date & Time","Barometer - in Hg","Inside Temp - °F","Inside Hum - %","Inside Dew Point - °F","Inside Heat Index - °F","Inside EMC","Temp - °F","High Temp - °F","Low Temp - °F","Hum - %","Dew Point - °F","Wet Bulb - °F","Wind Speed - mph","Wind Direction","Wind Run - mi","High Wind Speed - mph","High Wind Direction","Wind Chill - °F","Heat Index - °F","THW Index - °F","Rain - in","Rain Rate - in/h","ET - in","Heating Degree Days","Cooling Degree Days"
"9/1/21 12:00 AM","29.40","75","49","55","75","9.0","72","72","72","87","68","69","0","","0.0","2","WSW","72","74","74","0.00","0.00","0.00","0.000","0.144"
"9/1/21 12:30 AM","29.40","75","49","55","75","9.0","72","72","72","88","68","69","0","","0.0","2","WSW","72","74","74","0.00","0.00","0.00","0.000","0.146"
"9/1/21 1:00 AM","29.39","75","49","55","75","9.0","72","72","71","90","68","69","0","","0.0","2","WSW","72","74","74","0.00","0.00","0.00","0.000","0.135"
"9/1/21 1:30 AM","29.41","75","49","55","75","9.1","72","72","71","90","68","69","0","","0.0","2","WSW","72","74","74","0.00","0.00","0.00","0.000","0.135"
"9/1/21 2:00 AM","29.40","75","49","54","75","9.1","71","72","71","91","68","69","1","WSW","0.5","3","WSW","71","73","73","0.00","0.00","0.00","0.000","0.123"
"9/1/21 2:30 AM","29.39","75","49","54","75","9.1","71","71","71","92","68","69","0","","0.0","2","WSW","71","73","73","0.01","0.00","0.00","0.000","0.123"
"9/1/21 3:00 AM","29.39","75","49","54","74","9.1","70","71","70","92","68","68","2","WSW","1.0","4","ESE","70","72","72","0.01","0.00","0.00","0.000","0.108"
"9/1/21 3:30 AM","29.40","75","49","54","74","9.1","70","70","70","91","67","68","2","E","1.0","4","E","70","72","72","0.03","0.08","0.00","0.000","0.104"
"9/1/21 4:00 AM","29.39","75","49","54","74","9.1","70","70","70","92","67","68","4","ESE","2.0","8","E","70","72","72","0.05","0.15","0.00","0.000","0.098"
"9/1/21 4:30 AM","29.38","74","49","54","74","9.1","69","70","69","93","67","68","3","E","1.5","8","E","69","72","72","0.06","0.20","0.00","0.000","0.087"
"9/1/21 5:00 AM","29.39","75","50","55","74","9.2","69","69","69","93","67","68","5","E","2.5","10","ENE","69","71","71","0.03","0.20","0.00","0.000","0.085"
"9/1/21 5:30 AM","29.38","75","52","56","75","9.6","69","69","69","94","67","67","4","ESE","2.0","10","SE","69","71","71","0.04","0.10","0.00","0.000","0.075"
"9/1/21 6:00 AM","29.37","75","51","55","75","9.4","69","69","68","93","66","67","5","E","2.5","15","E","69","71","71","0.00","0.00","0.00","0.000","0.075"
"9/1/21 6:30 AM","29.37","75","50","55","75","9.2","69","69","68","94","67","68","5","E","2.5","15","E","69","71","71","0.00","0.00","0.00","0.000","0.079"
"9/1/21 7:00 AM","29.38","75","50","55","75","9.2","68","69","68","93","66","67","6","E","3.0","12","ESE","68","71","71","0.01","0.00","0.00","0.000","0.073"
"9/1/21 7:30 AM","29.36","75","50","55","75","9.2","68","68","68","93","66","67","8","E","4.0","17","E","67","70","69","0.00","0.00","0.00","0.000","0.065"
"9/1/21 8:00 AM","29.35","75","49","54","75","9.1","68","68","68","93","66","67","9","E","4.5","16","ENE","67","70","69","0.00","0.00","0.00","0.000","0.069"
"9/1/21 8:30 AM","29.36","75","49","54","75","9.1","68","68","68","93","66","67","10","E","5.0","19","E","66","70","68","0.00","0.00","0.00","0.000","0.067"
"9/1/21 9:00 AM","29.36","75","49","54","75","9.1","68","68","68","92","66","67","9","E","4.5","17","ESE","67","70","69","0.00","0.00","0.00","0.000","0.069"
"9/1/21 9:30 AM","29.34","75","49","54","75","9.1","69","69","68","92","66","67","9","E","4.5","17","E","67","71","69","0.00","0.00","0.00","0.000","0.075"
"9/1/21 10:00 AM","29.33","75","49","54","75","9.1","69","69","68","91","66","67","9","E","4.5","17","E","68","71","70","0.00","0.00","0.00","0.000","0.083"
"9/1/21 10:30 AM","29.31","75","49","54","75","9.1","69","69","69","90","66","67","8","E","4.0","16","E","69","72","71","0.00","0.00","0.00","0.000","0.092"
"9/1/21 11:00 AM","29.31","75","49","54","75","9.1","70","70","69","89","66","67","8","E","4.0","15","E","69","72","71","0.00","0.00","0.00","0.000","0.094"
"9/1/21 11:30 AM","29.30","75","49","54","75","9.1","70","70","70","90","67","68","8","E","4.0","14","ESE","69","72","71","0.00","0.00","0.00","0.000","0.100"
"9/1/21 12:00 PM","29.29","75","49","54","75","9.1","70","70","70","90","67","68","8","E","4.0","16","E","69","72","71","0.00","0.00","0.00","0.000","0.104"
"9/1/21 12:30 PM","29.25","75","49","54","75","9.1","71","71","70","90","68","68","10","E","5.0","19","E","69","73","71","0.00","0.00","0.00","0.000","0.117"
"9/1/21 1:00 PM","29.22","75","49","54","75","9.1","71","71","70","91","68","69","11","E","5.5","26","E","68","73","70","0.00","0.00","0.00","0.000","0.123"
"9/1/21 1:30 PM","29.19","75","50","55","75","9.2","71","71","70","93","68","69","11","E","5.5","22","E","68","73","70","0.18","2.85","0.00","0.000","0.117"
"9/1/21 2:00 PM","29.14","75","50","55","75","9.2","70","70","70","94","68","69","8","E","4.0","18","E","69","72","71","0.82","4.65","0.00","0.000","0.100"
"9/1/21 2:30 PM","29.17","75","50","55","75","9.2","70","70","70","94","68","69","7","E","3.5","22","ENE","70","72","72","0.34","2.40","0.00","0.000","0.104"
"9/1/21 3:00 PM","29.15","75","50","55","75","9.2","69","70","69","94","67","68","7","E","3.5","19","ESE","69","72","72","0.33","1.58","0.00","0.000","0.090"
"9/1/21 3:30 PM","29.14","75","49","54","74","9.1","69","69","69","95","68","68","6","ESE","3.0","15","E","69","72","72","0.27","1.70","0.00","0.000","0.090"
"9/1/21 4:00 PM","29.12","75","50","55","75","9.2","70","70","69","95","68","69","6","ESE","3.0","17","ENE","70","72","72","0.60","1.41","0.00","0.000","0.098"
"9/1/21 4:30 PM","29.11","75","49","54","74","9.1","70","70","69","95","69","69","2","ENE","1.0","12","E","70","73","73","0.43","1.32","0.00","0.000","0.106"
"9/1/21 5:00 PM","29.10","75","49","54","74","9.1","67","70","67","94","66","66","8","N","4.0","35","N","67","69","69","0.28","0.93","0.00","0.000","0.050"
"9/1/21 5:30 PM","29.11","74","49","54","74","9.1","67","67","67","94","65","66","4","NNW","2.0","10","NNW","67","69","69","0.24","0.61","0.00","0.000","0.038"
"9/1/21 6:00 PM","29.12","74","48","53","74","8.9","66","67","66","94","65","65","4","NNE","2.0","10","NNE","66","68","68","0.11","0.37","0.00","0.000","0.027"
"9/1/21 6:30 PM","29.11","74","47","53","74","8.8","66","66","66","95","64","65","5","ENE","2.5","15","N","66","67","67","0.16","0.36","0.00","0.000","0.015"
"9/1/21 7:00 PM","29.15","74","47","52","73","8.8","65","66","65","94","63","64","11","N","5.5","23","NNE","62","66","63","0.16","0.46","0.00","0.000","0.000"
"9/1/21 7:30 PM","29.17","74","47","52","73","8.8","64","65","64","94","63","63","15","NNE","7.5","29","NNE","60","66","61","0.23","0.66","0.00","0.012","0.000"
"9/1/21 8:00 PM","29.17","74","47","52","73","8.8","64","64","64","93","62","63","15","NNE","7.5","31","NE","59","65","60","0.24","0.66","0.00","0.017","0.000"
"9/1/21 8:30 PM","29.18","74","47","52","73","8.8","63","64","63","93","61","62","15","NNE","7.5","29","NNE","58","64","59","0.21","0.67","0.00","0.033","0.000"
"9/1/21 9:00 PM","29.21","73","47","52","73","8.8","63","64","63","93","61","62","14","NE","7.0","34","NNE","58","64","59","0.19","0.49","0.00","0.042","0.000"
"9/1/21 9:30 PM","29.20","73","48","52","73","8.9","63","63","63","92","61","62","15","NE","7.5","32","NNE","58","64","59","0.17","0.48","0.00","0.035","0.000"
"9/1/21 10:00 PM","29.21","73","48","52","72","8.9","63","63","63","93","61","62","12","NE","6.0","26","NNE","59","64","60","0.15","0.40","0.00","0.040","0.000"
"9/1/21 10:30 PM","29.22","73","48","52","72","8.9","63","63","63","93","61","62","12","N","6.0","22","N","59","64","60","0.12","0.30","0.00","0.040","0.000"
"9/1/21 11:00 PM","29.25","73","48","52","72","8.9","63","63","63","91","61","62","12","N","6.0","26","NNE","60","64","60","0.10","0.24","0.00","0.035","0.000"
"9/1/21 11:30 PM","29.25","73","47","51","72","8.8","64","64","63","89","60","61","12","N","6.0","21","NNW","60","64","60","0.09","0.25","0.00","0.031","0.000"
"9/2/21 12:00 AM","29.26","72","47","51","72","8.8","64","64","63","89","60","61","11","N","5.5","20","N","61","64","61","0.09","0.21","0.00","0.027","0.000"
"9/2/21 12:30 AM","29.26","72","47","51","71","8.8","64","64","64","88","60","61","8","N","4.0","17","NNW","63","64","64","0.06","0.20","0.00","0.027","0.000"
"9/2/21 1:00 AM","29.28","72","48","52","71","8.9","64","64","64","87","60","61","9","N","4.5","17","N","62","64","63","0.05","0.14","0.00","0.025","0.000"
"9/2/21 1:30 AM","29.28","72","48","51","71","8.9","64","64","64","86","60","61","10","N","5.0","18","NNW","62","65","62","0.02","0.08","0.00","0.021","0.000"
"9/2/21 2:00 AM","29.30","72","48","51","71","8.9","64","64","64","85","60","61","9","N","4.5","16","NW","63","65","63","0.00","0.00","0.00","0.017","0.000"
"9/2/21 2:30 AM","29.31","72","49","52","71","9.1","64","64","64","84","59","60","10","N","5.0","22","NW","61","64","62","0.01","0.00","0.00","0.029","0.000"
"9/2/21 3:00 AM","29.33","72","48","51","71","8.9","63","64","63","82","57","59","10","N","5.0","19","N","60","63","61","0.00","0.00","0.00","0.042","0.000"
"9/2/21 3:30 AM","29.34","72","49","52","71","9.1","62","63","62","80","56","58","12","N","6.0","23","NNW","58","62","58","0.00","0.00","0.00","0.058","0.000"
"9/2/21 4:00 AM","29.36","72","49","52","71","9.1","62","62","62","79","55","57","9","N","4.5","18","NE","60","62","60","0.00","0.00","0.00","0.067","0.000"
"9/2/21 4:30 AM","29.38","72","49","52","71","9.1","61","62","61","81","55","57","8","N","4.0","16","N","60","61","60","0.00","0.00","0.00","0.081","0.000"
"9/2/21 5:00 AM","29.39","72","49","52","71","9.1","61","61","61","81","55","57","9","NNW","4.5","18","N","59","61","59","0.00","0.00","0.00","0.083","0.000"
"9/2/21 5:30 AM","29.40","72","50","52","71","9.2","60","61","60","80","54","56","10","NNW","5.0","18","NNW","58","60","57","0.00","0.00","0.00","0.094","0.000"
"9/2/21 6:00 AM","29.42","72","49","52","71","9.1","61","61","60","79","54","57","10","N","5.0","19","NNW","58","61","58","0.00","0.00","0.00","0.083","0.000"
"9/2/21 6:30 AM","29.44","72","50","52","71","9.2","62","62","61","75","54","57","8","N","4.0","15","NNW","61","62","61","0.00","0.00","0.00","0.060","0.000"
"9/2/21 7:00 AM","29.45","72","50","52","71","9.2","63","63","62","72","54","57","8","N","4.0","18","NNE","62","63","62","0.00","0.00","0.00","0.044","0.000"
"9/2/21 7:30 AM","29.45","72","49","52","71","9.1","64","64","63","69","54","57","9","N","4.5","19","NNW","62","64","62","0.00","0.00","0.00","0.021","0.000"
"9/2/21 8:00 AM","29.47","72","49","52","71","9.1","65","65","64","67","54","57","10","N","5.0","20","N","63","65","62","0.00","0.00","0.00","0.000","0.000"
"9/2/21 8:30 AM","29.48","72","50","52","71","9.2","67","67","65","65","55","58","10","NNE","5.0","21","NNW","65","66","64","0.00","0.00","0.00","0.000","0.035"
"9/2/21 9:00 AM","29.49","72","49","52","71","9.1","68","68","66","62","54","58","11","N","5.5","20","N","65","67","65","0.00","0.00","0.00","0.000","0.058"
"9/2/21 9:30 AM","29.48","72","49","52","71","9.1","69","69","68","60","55","59","10","N","5.0","20","N","67","69","67","0.00","0.00","0.00","0.000","0.083"
"9/2/21 10:00 AM","29.49","72","49","52","71","9.1","71","71","69","57","55","59","10","N","5.0","20","NW","69","70","68","0.00","0.00","0.00","0.000","0.121"
"9/2/21 10:30 AM","29.50","72","48","51","71","8.9","71","71","70","51","52","57","12","N","6.0","23","NNW","68","69","66","0.00","0.00","0.00","0.000","0.117"
"9/2/21 11:00 AM","29.50","72","48","51","71","8.9","71","72","70","51","52","58","11","N","5.5","20","N","69","70","68","0.00","0.00","0.00","0.000","0.131"
