"Church Farm School Weather Station"
"9/1/21 12:00 AM : 1 Year"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"9/2/21 11:30 AM","29.49","72","47","51","71","8.8","72","72","71","50","53","58","12","N","6.0","23","NNW","69","71","68","0.00","0.00","0.00","0.000","0.150"
"9/2/21 12:00 PM","29.50","72","47","51","71","8.8","73","74","72","50","54","59","10","N","5.0","22","NE","71","73","71","0.00","0.00","0.00","0.000","0.175"
"9/2/21 12:30 PM","29.50","72","46","50","70","8.6","74","74","73","48","53","59","9","N","4.5","19","NNE","72","73","72","0.00","0.00","0.00","0.000","0.185"
"9/2/21 1:00 PM","29.50","72","46","50","70","8.6","76","76","74","48","54","60","9","NNW","4.5","17","NW","74","75","74","0.00","0.00","0.00","0.000","0.219"
"9/2/21 1:30 PM","29.50","72","46","50","70","8.6","75","76","74","50","55","60","10","NNW","5.0","20","NW","73","75","73","0.00","0.00","0.00","0.000","0.202"
"9/2/21 2:00 PM","29.49","72","46","50","70","8.6","74","75","74","54","57","61","12","N","6.0","22","NNW","72","74","72","0.00","0.00","0.00","0.000","0.196"
"9/2/21 2:30 PM","29.49","72","46","50","70","8.6","75","75","74","47","53","59","11","N","5.5","20","NNE","73","75","72","0.00","0.00","0.00","0.000","0.210"
"9/2/21 3:00 PM","29.50","72","45","49","70","8.4","75","76","74","47","53","59","12","N","6.0","21","N","72","74","71","0.00","0.00","0.00","0.000","0.202"
"9/2/21 3:30 PM","29.50","72","46","50","70","8.6","75","75","75","49","54","60","10","N","5.0","17","NNW","73","75","73","0.00","0.00","0.00","0.000","0.206"
"9/2/21 4:00 PM","29.51","72","46","50","70","8.6","75","75","75","49","55","60","9","N","4.5","18","N","74","75","73","0.00","0.00","0.00","0.000","0.210"
"9/2/21 4:30 PM","29.52","72","45","49","70","8.4","74","76","74","53","56","60","7","N","3.5","16","NNW","74","74","74","0.00","0.00","0.00","0.000","0.181"
"9/2/21 5:00 PM","29.53","72","46","50","70","8.6","73","74","73","55","56","61","7","N","3.5","17","N","73","73","73","0.00","0.00","0.00","0.000","0.175"
"9/2/21 5:30 PM","29.54","72","46","50","70","8.6","72","73","72","58","57","61","5","N","2.5","13","NNE","72","72","72","0.00","0.00","0.00","0.000","0.154"
"9/2/21 6:00 PM","29.54","72","46","50","70","8.6","71","72","71","63","57","61","3","N","1.5","8","N","71","70","70","0.00","0.00","0.00","0.000","0.119"
"9/2/21 6:30 PM","29.56","72","47","50","70","8.8","68","71","68","68","57","60","0","","0.0","2","N","68","68","68","0.00","0.00","0.00","0.000","0.065"
"9/2/21 7:00 PM","29.57","72","48","51","71","8.9","65","68","65","75","57","60","0","","0.0","2","N","65","65","65","0.00","0.00","0.00","0.000","0.006"
"9/2/21 7:30 PM","29.59","72","47","50","70","8.8","65","65","64","74","56","59","0","","0.0","2","N","65","65","65","0.00","0.00","0.00","0.008","0.000"
"9/2/21 8:00 PM","29.60","72","47","50","70","8.8","64","65","64","76","56","59","0","","0.0","1","N","64","64","64","0.00","0.00","0.00","0.019","0.000"
"9/2/21 8:30 PM","29.60","72","48","51","70","8.9","63","64","63","78","56","59","0","","0.0","2","N","63","63","63","0.00","0.00","0.00","0.035","0.000"
"9/2/21 9:00 PM","29.61","72","48","51","71","8.9","62","63","62","79","56","58","0","","0.0","2","N","62","63","63","0.00","0.00","0.00","0.052","0.000"
"9/2/21 9:30 PM","29.61","72","48","51","70","8.9","63","63","62","76","55","58","1","N","0.5","3","N","63","63","63","0.00","0.00","0.00","0.044","0.000"
"9/2/21 10:00 PM","29.62","72","48","51","70","8.9","63","63","63","75","55","57","2","N","1.0","5","N","63","62","62","0.00","0.00","0.00","0.048","0.000"
"9/2/21 10:30 PM","29.62","72","48","51","70","8.9","62","63","62","76","54","57","1","N","0.5","3","N","62","62","62","0.00","0.00","0.00","0.062","0.000"
"9/2/21 11:00 PM","29.62","72","48","51","71","8.9","60","62","60","79","54","56","0","","0.0","2","N","60","60","60","0.00","0.00","0.00","0.096","0.000"
"9/2/21 11:30 PM","29.63","72","48","51","71","8.9","59","60","59","81","53","55","0","","0.0","3","N","59","59","59","0.00","0.00","0.00","0.121","0.000"
"9/3/21 12:00 AM","29.62","72","48","51","71","8.9","58","59","58","82","53","55","0","","0.0","2","ENE","58","58","58","0.00","0.00","0.00","0.137","0.000"
"9/3/21 12:30 AM","29.62","72","48","51","71","8.9","58","59","58","82","53","55","0","","0.0","2","ENE","58","58","58","0.00","0.00","0.00","0.135","0.000"
"9/3/21 1:00 AM","29.62","72","48","51","71","8.9","57","59","57","84","53","54","1","ENE","0.5","3","ENE","57","57","57","0.00","0.00","0.00","0.160","0.000"
"9/3/21 1:30 AM","29.62","72","48","51","71","8.9","56","57","56","87","52","54","0","","0.0","3","WNW","56","56","56","0.00","0.00","0.00","0.181","0.000"
"9/3/21 2:00 AM","29.62","72","48","51","71","8.9","56","56","56","90","53","54","1","W","0.5","3","W","56","56","56","0.00","0.00","0.00","0.183","0.000"
"9/3/21 2:30 AM","29.62","72","49","52","71","9.1","56","56","56","90","53","54","1","W","0.5","5","WSW","56","56","56","0.00","0.00","0.00","0.183","0.000"
"9/3/21 3:00 AM","29.63","72","49","52","71","9.1","56","56","56","87","53","54","2","SW","1.0","6","WSW","56","56","56","0.00","0.00","0.00","0.177","0.000"
"9/3/21 3:30 AM","29.63","72","49","52","71","9.1","56","56","56","88","52","54","1","WSW","0.5","4","WSW","56","56","56","0.00","0.00","0.00","0.192","0.000"
"9/3/21 4:00 AM","29.64","72","49","52","71","9.1","56","56","56","87","52","54","1","WSW","0.5","3","WSW","56","56","56","0.00","0.00","0.00","0.188","0.000"
"9/3/21 4:30 AM","29.65","72","48","51","71","8.9","55","56","55","89","52","53","1","WSW","0.5","2","WSW","55","55","55","0.00","0.00","0.00","0.213","0.000"
"9/3/21 5:00 AM","29.65","72","48","51","71","8.9","55","55","54","89","52","53","2","WSW","1.0","7","W","55","55","55","0.00","0.00","0.00","0.208","0.000"
"9/3/21 5:30 AM","29.65","72","48","51","70","8.9","56","56","55","88","52","53","2","W","1.0","6","WNW","56","56","56","0.00","0.00","0.00","0.196","0.000"
"9/3/21 6:00 AM","29.66","72","48","51","70","8.9","57","57","56","85","52","54","1","N","0.5","3","WSW","57","57","57","0.00","0.00","0.00","0.171","0.000"
"9/3/21 6:30 AM","29.67","72","48","51","70","8.9","59","59","57","80","53","55","3","N","1.5","6","N","59","59","59","0.00","0.00","0.00","0.119","0.000"
"9/3/21 7:00 AM","29.67","72","47","50","71","8.8","61","61","59","76","54","56","6","N","3.0","12","N","61","61","61","0.00","0.00","0.00","0.077","0.000"
"9/3/21 7:30 AM","29.67","72","47","50","70","8.8","62","62","61","74","54","57","7","N","3.5","13","N","62","62","62","0.00","0.00","0.00","0.054","0.000"
"9/3/21 8:00 AM","29.67","72","47","50","70","8.8","64","64","62","73","55","58","7","N","3.5","14","N","64","64","64","0.00","0.00","0.00","0.025","0.000"
"9/3/21 8:30 AM","29.67","72","47","50","70","8.8","64","65","64","71","55","58","8","N","4.0","16","N","64","64","64","0.00","0.00","0.00","0.010","0.000"
"9/3/21 9:00 AM","29.68","72","47","50","70","8.8","65","66","65","70","55","58","9","N","4.5","17","N","64","65","64","0.00","0.00","0.00","0.000","0.004"
"9/3/21 9:30 AM","29.67","72","48","51","70","8.9","66","66","65","69","55","59","8","N","4.0","17","N","65","66","65","0.00","0.00","0.00","0.000","0.017"
"9/3/21 10:00 AM","29.67","72","48","51","70","8.9","67","68","66","68","56","59","7","N","3.5","13","N","67","67","67","0.00","0.00","0.00","0.000","0.040"
"9/3/21 10:30 AM","29.67","72","49","52","71","9.1","69","69","67","65","57","61","7","N","3.5","15","N","69","69","69","0.00","0.00","0.00","0.000","0.087"
"9/3/21 11:00 AM","29.67","72","49","52","71","9.1","69","69","68","64","56","60","7","N","3.5","16","N","69","69","69","0.00","0.00","0.00","0.000","0.081"
"9/3/21 11:30 AM","29.66","72","48","51","70","8.9","71","71","69","62","57","61","7","N","3.5","14","N","71","71","71","0.00","0.00","0.00","0.000","0.127"
"9/3/21 12:00 PM","29.67","72","49","51","70","9.1","70","71","69","62","56","60","7","N","3.5","14","N","70","69","69","0.00","0.00","0.00","0.000","0.102"
"9/3/21 12:30 PM","29.66","72","49","52","71","9.1","71","71","70","62","58","62","7","N","3.5","15","N","71","71","71","0.00","0.00","0.00","0.000","0.133"
"9/3/21 1:00 PM","29.65","72","49","51","70","9.1","71","72","71","60","57","61","6","N","3.0","13","N","71","71","71","0.00","0.00","0.00","0.000","0.133"
"9/3/21 1:30 PM","29.64","72","49","51","70","9.1","72","73","71","60","57","61","6","NNW","3.0","14","N","72","72","72","0.00","0.00","0.00","0.000","0.146"
"9/3/21 2:00 PM","29.64","72","50","52","71","9.2","72","73","71","62","58","62","6","NNW","3.0","12","N","72","72","72","0.00","0.00","0.00","0.000","0.140"
"9/3/21 2:30 PM","29.63","72","50","52","71","9.2","73","73","71","58","57","62","7","NNW","3.5","13","NNW","73","73","73","0.00","0.00","0.00","0.000","0.165"
"9/3/21 3:00 PM","29.62","72","50","52","71","9.2","72","73","72","59","57","61","7","NNW","3.5","13","NW","72","72","72","0.00","0.00","0.00","0.000","0.144"
"9/3/21 3:30 PM","29.63","72","50","52","71","9.2","71","72","71","62","57","61","6","NNE","3.0","16","N","71","71","71","0.00","0.00","0.00","0.000","0.123"
"9/3/21 4:00 PM","29.64","72","50","52","71","9.2","70","71","70","63","57","61","5","N","2.5","11","N","70","70","70","0.00","0.00","0.00","0.000","0.110"
"9/3/21 4:30 PM","29.64","72","50","52","71","9.2","70","70","70","65","58","61","5","N","2.5","9","N","70","70","70","0.00","0.00","0.00","0.000","0.104"
"9/3/21 5:00 PM","29.64","72","50","52","71","9.2","70","70","70","66","58","61","4","N","2.0","11","N","70","70","70","0.00","0.00","0.00","0.000","0.102"
"9/3/21 5:30 PM","29.64","72","50","52","71","9.2","69","70","69","68","58","61","4","N","2.0","8","N","69","69","69","0.00","0.00","0.00","0.000","0.087"
"9/3/21 6:00 PM","29.65","72","50","52","70","9.2","68","69","68","70","58","61","3","N","1.5","6","N","68","69","69","0.00","0.00","0.00","0.000","0.067"
"9/3/21 6:30 PM","29.66","72","50","52","70","9.2","68","68","67","71","58","61","4","N","2.0","9","N","68","68","68","0.00","0.00","0.00","0.000","0.052"
"9/3/21 7:00 PM","29.66","72","51","53","71","9.4","67","68","67","70","57","60","3","N","1.5","10","N","67","67","67","0.00","0.00","0.00","0.000","0.042"
"9/3/21 7:30 PM","29.66","72","50","52","70","9.2","65","67","65","74","57","60","2","N","1.0","5","N","65","66","66","0.00","0.00","0.00","0.000","0.008"
"9/3/21 8:00 PM","29.67","72","51","53","71","9.4","64","65","64","77","57","59","2","N","1.0","4","N","64","64","64","0.00","0.00","0.00","0.021","0.000"
"9/3/21 8:30 PM","29.67","72","50","52","70","9.2","63","64","63","80","56","58","1","N","0.5","4","N","63","63","63","0.00","0.00","0.00","0.050","0.000"
"9/3/21 9:00 PM","29.67","72","51","53","71","9.4","61","63","61","83","56","58","1","N","0.5","3","N","61","61","61","0.00","0.00","0.00","0.077","0.000"
"9/3/21 9:30 PM","29.67","72","51","53","71","9.4","60","61","60","85","56","58","0","","0.0","2","N","60","61","61","0.00","0.00","0.00","0.094","0.000"
"9/3/21 10:00 PM","29.67","72","51","52","70","9.4","60","60","60","86","56","58","0","","0.0","3","N","60","60","60","0.00","0.00","0.00","0.096","0.000"
"9/3/21 10:30 PM","29.67","72","51","53","71","9.4","60","60","60","88","56","58","0","","0.0","2","N","60","60","60","0.00","0.00","0.00","0.106","0.000"
"9/3/21 11:00 PM","29.67","72","51","53","71","9.4","60","60","60","87","56","57","1","N","0.5","2","N","60","60","60","0.00","0.00","0.00","0.104","0.000"
"9/3/21 11:30 PM","29.67","72","51","53","71","9.4","60","61","60","86","56","57","1","N","0.5","3","N","60","60","60","0.00","0.00","0.00","0.102","0.000"
"9/4/21 12:00 AM","29.66","72","51","53","71","9.4","60","60","60","87","56","57","1","N","0.5","3","N","60","60","60","0.00","0.00","0.00","0.113","0.000"
"9/4/21 12:30 AM","29.66","72","51","53","71","9.4","58","60","58","89","55","56","0","","0.0","3","N","58","58","58","0.00","0.00","0.00","0.140","0.000"
"9/4/21 1:00 AM","29.65","72","51","53","71","9.4","59","59","58","88","55","57","1","N","0.5","3","N","59","59","59","0.00","0.00","0.00","0.125","0.000"
"9/4/21 1:30 AM","29.66","72","51","53","71","9.4","59","59","59","87","55","57","1","N","0.5","3","N","59","59","59","0.00","0.00","0.00","0.121","0.000"
"9/4/21 2:00 AM","29.65","72","51","53","71","9.4","59","59","58","88","55","56","1","N","0.5","3","N","59","59","59","0.00","0.00","0.00","0.133","0.000"
"9/4/21 2:30 AM","29.65","72","51","53","71","9.4","58","59","58","89","55","56","1","N","0.5","4","N","58","58","58","0.00","0.00","0.00","0.142","0.000"
"9/4/21 3:00 AM","29.65","72","51","53","71","9.4","57","58","57","89","54","55","0","","0.0","3","N","57","57","57","0.00","0.00","0.00","0.158","0.000"
"9/4/21 3:30 AM","29.65","72","51","53","71","9.4","57","58","57","90","54","55","0","","0.0","2","N","57","57","57","0.00","0.00","0.00","0.162","0.000"
"9/4/21 4:00 AM","29.66","72","51","53","71","9.4","58","58","57","88","54","56","1","N","0.5","4","N","58","58","58","0.00","0.00","0.00","0.146","0.000"
"9/4/21 4:30 AM","29.66","72","51","53","71","9.4","58","58","58","89","55","56","1","N","0.5","3","N","58","58","58","0.00","0.00","0.00","0.150","0.000"
"9/4/21 5:00 AM","29.66","72","51","53","71","9.4","58","58","58","89","55","56","1","N","0.5","3","N","58","58","58","0.00","0.00","0.00","0.148","0.000"
"9/4/21 5:30 AM","29.66","72","51","52","70","9.4","58","58","58","89","55","56","0","","0.0","3","N","58","58","58","0.00","0.00","0.00","0.148","0.000"
"9/4/21 6:00 AM","29.67","72","50","52","71","9.2","59","59","58","87","55","57","2","N","1.0","5","N","59","59","59","0.00","0.00","0.00","0.125","0.000"
"9/4/21 6:30 AM","29.67","71","50","52","70","9.2","59","59","59","87","55","57","1","N","0.5","3","N","59","59","59","0.00","0.00","0.00","0.119","0.000"
"9/4/21 7:00 AM","29.67","72","50","52","70","9.2","61","61","59","86","56","58","1","N","0.5","3","N","61","61","61","0.00","0.00","0.00","0.090","0.000"
